Country,Coffee type,Total_domestic_consumption,Year,Consumption
Country 53,Arabica,2386067999,2018-19,104160000.0
Country 54,Robusta/Arabica,1920928320,2018-19,174720000.0
Country 55,Arabica,121620000,2018-19,4368000.0
Country 1,Robusta/Arabica,46500000,2019-20,2016000.0
Country 2,Arabica,75180000,2019-20,4099200.0
Country 3,Arabica/Robusta,27824700000,2019-20,1478400000.0
Country 4,Arabica/Robusta,3412020,2019-20,134400.0
Country 5,Arabica/Robusta,381540000,2019-20,10012800.0
Country 6,Robusta/Arabica,4920480000,2019-20,322963200.0
Country 7,Robusta,588705960,2019-20,25200000.0
Country 8,Arabica,2340000,2019-20,67200.0
Country 9,Arabica/Robusta,3608400,2019-20,134400.0
Country 10,Arabica,35100000,2019-20,1344000.0
Country 11,Arabica,402000000,2019-20,16800000.0
Country 12,Arabica,2139960,2019-20,67200.0
Country 13,Arabica,294000,2019-20,32928.0
Country 14,Arabica,8595960,2019-20,268800.0
Country 15,Robusta,5360040,2019-20,201600.0
Country 16,Arabica,384006000,2019-20,14515200.0
Country 17,Arabica/Robusta,642823380,2019-20,25334400.0
Country 18,Arabica,600600000,2019-20,23184000.0
Country 19,Robusta/Arabica,2807280000,2019-20,218400000.0
Country 20,Arabica/Robusta,76425060,2019-20,6384000.0
Country 21,Arabica,991920,2019-20,0.0
Country 22,Robusta/Arabica,143450940,2019-20,5174400.0
Country 23,Robusta,24794400,2019-20,1344000.0
Country 24,Arabica,2536776384,2019-20,136064812.8
Country 25,Arabica,665335200,2019-20,23654400.0
Country 26,Robusta,410260140,2019-20,21302400.0
Country 27,Robusta/Arabica,359880000,2019-20,13305600.0
Country 28,Arabica,417242040,2019-20,19622400.0
Country 29,Robusta,0,2019-20,0.0
Country 30,Arabica,4536540000,2019-20,254083200.0
Country 31,Robusta,1123140,2019-20,33600.0
Country 32,Robusta,9970800,2019-20,134400.0
Country 33,Arabica/Robusta,590880000,2019-20,26409600.0
Country 34,Robusta,86730000,2019-20,3360000.0
Country 35,Robusta,9203040,2019-20,604800.0
Country 36,Arabica,471850680,2019-20,23520000.0
Country 37,Robusta/Arabica,2093460000,2019-20,97440000.0
Country 38,Arabica,18688020,2019-20,604800.0
Country 39,Arabica,95190000,2019-20,4804800.0
Country 40,Robusta,157980000,2019-20,10550400.0
Country 41,Robusta,8640000,2019-20,336000.0
Country 42,Arabica/Robusta,3189660000,2019-20,162960000.0
Country 43,Arabica,0,2019-20,0.0
Country 44,Arabica,299700300,2019-20,14112000.0
Country 45,Robusta,70740000,2019-20,2688000.0
Country 46,Arabica,122916960,2019-20,4502400.0
Country 47,Robusta,10080000,2019-20,336000.0
Country 48,Robusta/Arabica,58300020,2019-20,2352000.0
Country 49,Robusta/Arabica,1248600000,2019-20,94080000.0
Country 50,Robusta,2167620,2019-20,17472.0
Country 51,Robusta,21090000,2019-20,672000.0
Country 52,Robusta/Arabica,284816400,2019-20,17068800.0
Country 53,Arabica,2386067999,2019-20,85680000.0
Country 54,Robusta/Arabica,1920928320,2019-20,178080000.0
Country 55,Arabica,121620000,2019-20,4300800.0
